Name,Town,Description,seg
光泉牛奶園地（大園廠）,大園區,剛擠出來的牛奶要經過多少繁複的製造過程才會成為香醇的鮮奶呢﹖館內導覽人員將帶你參觀生產線，並以詳盡的解說為你一一解惑。,"['剛擠', '出來', '經過', '鮮奶', '內導覽', '人員將', '參觀', '生產線', '並以', '詳盡', '解說', '香醇', '解惑', '牛奶', '一一', '多少']"
金車咖啡文教館,中壢區,從咖啡豆的精心挑選、掌握最佳烘焙程度、到最終的設計包裝，走逛每個生產環節，就能明白成就一杯香醇咖啡有多麼不簡單！,"['挑選', '最終', '設計', '包裝', '每個', '生產', '環節', '有多麼', '簡單', '咖啡豆', '烘焙', '香醇', '精心', '咖啡', '一杯', '最佳', '成就', '掌握', '明白', '程度']"
八德埤塘自然生態公園,八德區,超大草皮加上和煦陽光就能成就一場美好的湖畔野餐約會，除了享受美景美食之外，一旁還有水鳥野鴨優雅經過，打造濃濃鄉村風。,"['陽光', '一場', '約會', '水鳥野', '優雅', '經過', '濃濃鄉', '村風', '野餐', '和煦', '草皮', '超大', '美景', '湖畔', '美食', '美好', '打造', '一旁', '成就', '享受', '之外', '加上', '除了']"
青塘園,中壢區,陪孩子散步河堤木棧道賞荷花、觀察濕地生態，探索大自然的奧妙絕對令人不無聊，午後就在湖畔草地席地野餐，悠閒又唯美。,"['木棧', '道賞', '觀察濕', '生態', '奧妙絕', '不無聊', '午後就', '悠閒', '席地', '野餐', '唯美', '湖畔', '荷花', '河堤', '散步', '草地', '大自然', '探索', '令人', '孩子']"
桃園藝文廣場,桃園區,大片綠地讓人只是在晨光下散步也能備感療癒，由不規則形狀的紅色大門通往別具｢藝｣思的表演世界，總是能令人滿載而歸。,"['綠地', '能備', '感療', '規則', '形狀', '紅色', '大門', '別具', '總是', '滿載', '晨光', '散步', '通往', '大片', '表演', '令人', '只是', '世界']"
蘆竹五福宮,蘆竹區,從路口牌樓到寺廟外觀，華麗裝飾精緻又不失莊嚴、百年天爐裊裊香煙，祈財求福的許願上達天聽﹔不論是巡禮廟宇工藝或是參拜，都十分充實。,"['牌樓', '外觀', '華麗裝飾', '莊嚴', '天爐', '裊裊', '香煙', '祈財求', '許願', '達天', '不論', '巡禮廟', '宇工藝', '參拜', '充實', '不失', '百年', '路口', '或是', '十分']"
壽山巖觀音寺,龜山區,雕塑秀麗的殿宇搭上小橋流水，令人彷彿置身中國宮廷，而當初春時節，則成了旅人追櫻的熱門去處，點點櫻花滿開，為莊嚴的廟宇添了幾許悠然。,"['秀麗', '小橋', '中國', '宮廷', '而當', '時節', '則成', '追櫻', '熱門', '點點', '櫻花', '滿開', '莊嚴', '宇添', '幾許', '旅人', '悠然', '初春', '置身', '殿宇', '搭上', '雕塑', '流水', '令人']"
大溪齋明寺,大溪區,靜靜欣賞古樸寺院中的老樹、花木和每一隅的建築細節，是虔心禮佛、禪修之餘，另外一種讓心靈跳脫平時煩憂，全然舒放的良方。,"['舒放', '靜靜', '欣賞', '古樸', '老樹', '建築', '細節', '禮佛', '禪修', '之餘', '一種', '心靈', '脫平時', '煩憂', '虔心', '良方', '一隅', '全然', '花木', '寺院', '另外']"
小烏來天空步道,復興區,凌空漫步70公尺高透明廊道，嘩啦啦溪水、超廣角視野，叫人腳趾都發麻！完成挑戰後，還有50公噸風動石定格秀，讓旅程驚嘆再一波。,"['70', '超廣角', '視野', '發麻', '挑戰', '50', '公噸', '風動石', '驚嘆', '廊道', '定格', '公尺', '旅程', '漫步', '溪水', '凌空', '一波', '透明', '完成']"
原住民族文化會館,大溪區,關於認識原住民文化的各類小常識，逛逛館內豐富的文物館藏能讓你收穫滿滿，欣賞活力十足的傳統舞蹈表演和參與部落慶典也是值得推薦。,"['原住民', '關於', '認識', '各類', '小常識', '館內', '豐富', '館藏能', '滿滿', '欣賞', '傳統', '慶典', '推薦', '逛逛', '十足', '活力', '舞蹈', '文物', '部落', '表演', '值得', '文化']"
佳安里(石門十一份),龍潭區,把家中毛小孩帶上，在超大草坪上奔跑踢球、抬頭欣賞飛翔於高空的風箏，好不愜意！初夏五月桐花盛開如皚皚白雪，則是另一種風景。,"['帶上', '抬頭', '欣賞', '飛翔', '風箏', '愜意', '桐花', '盛開', '如皚皚', '則是', '一種', '風景', '踢球', '超大', '初夏', '草坪', '奔跑', '白雪', '高空', '小孩', '五月', '家中']"
觀音濱海遊憩區,觀音區,踏浪堆沙、發現寄居蟹、小螃蟹的沙灘蹤跡，伴著海潮之聲看大風車轉啊轉、欣賞夕陽西下的動容美景…為身心靈再次充飽元氣。,"['踏浪', '堆沙', '發現', '伴著', '之聲', '看大風車', '轉啊轉', '欣賞', '夕陽', '動容', '充飽元氣', '西下', '寄居蟹', '螃蟹', '美景', '海潮', '身心', '再次']"
大溪河濱公園,大溪區,綠油油的草地和各式各樣的遊戲設施，都好像在邀請你快來玩耍，你可以盡情跑跳，當然也可以找個蔭涼處野餐賞落羽松，從容製造小確幸。,"['油油的', '跑跳', '各樣', '遊戲', '設施', '盡情', '當然', '找個', '蔭涼處', '賞落', '羽松', '野餐', '各式', '玩耍', '草地', '好像']"
宏亞巧克力共和國,八德區,課本學不到的巧克力冷知識全部告訴你﹔好玩的DIY工坊教你製作獨一無二的甜點、把廢酒瓶變成藝術品，一起進入巧克力的夢想國度吧！,"['巧克力', '課本學', '冷知識', '告訴', 'DIY', '工坊', '變成', '藝術品', '進入', '國度', '酒瓶', '好玩', '不到', '全部', '一起']"
經國紀念館﹙大溪遊客中心﹚,大溪區,館內收藏的珍貴史料﹣親筆家書、專用座車、與國際政要的合影…引領旅人從多面向認識經國先生﹔館內另有旅遊諮詢服務，初訪者也能玩得盡興。,"['館內', '珍貴', '親筆家書', '專用', '座車', '國際', '引領', '認識', '經國', '旅遊諮詢', '服務', '初訪者', '盡興', '旅人', '政要', '合影', '史料', '收藏', '面向', '先生']"
老街溪河川教育中心,中壢區,究竟南桃園的人文發展，和這條母親之河有什麼樣的關聯﹖老街溪又是如何擺脫｢臭名｣，成為環教熱點﹖讓我們來館內看下去！,"['南桃園', '發展', '這條', '母親', '之河', '什麼樣', '關聯', '擺脫', '成為', '環教', '熱點', '我們', '來館', '臭名', '老街', '人文', '究竟', '下去', '如何']"
江記豆腐乳文化館,中壢區,融合現代技術與代代相傳的陳釀風味，江記把餐桌上的配角轉變為文化的展現﹔館內特別提供豆腐乳DIY，邀您一起感受匠人手作精神。,"['現代技術', '相傳', '釀風味', '江記', '轉變', '展現', '館內', '特別', 'DIY', '手作', '豆腐乳', '代代', '配角', '餐桌上', '匠人', '融合', '感受', '精神', '文化', '一起', '提供']"
太平洋自行車博物館,新屋區,館內展示超過來自世界各國200台的自行車，使旅人透視全球日新月異的自行車科技之外，還可以現場試乘，體驗駕馭新型車款的快感。,"['自行', '館內', '超過', '各國', '200', '透視', '現場', '試乘', '體驗', '駕馭', '車款', '旅人', '快感', '展示', '新型', '新月', '之外', '科技', '全球', '世界']"
巴陵古道生態園區,復興區,要認識巴陵的明媚風光，園區內的蝴蝶館、甲蟲館、闊葉林館，以及地質館等四座館舍，讓你爬山不再走馬看花，深度領略山林美好。,"['巴陵', '認識', '風光', '園區', '甲蟲館', '闊葉林館', '地質館', '館舍', '走馬', '領略', '看花', '四座', '爬山', '明媚', '蝴蝶', '山林', '美好', '深度', '不再', '以及']"
桃園1-4號生態埤塘,桃園區,在落羽松、海桐、楊柳的環抱之下，散步在環池步道成了一種悠然享受，而駐足木棧平台賞飛鳥點水而過、嬌豔的香水蓮盛開，則是分外愜意。,"['步道', '海桐', '落羽松', '楊柳', '環抱', '環池', '一種', '駐足', '木棧', '賞飛', '鳥點', '水而過', '蓮盛開', '則是', '愜意', '悠然', '香水', '散步', '分外', '享受', '平台', '之下']"
好時節休閒農場 (好時節農莊),大溪區,來到開心農場真實版，怎麼能錯過與梅花鹿、山羊互動的好機會﹖還有令人興奮的龍眼木窯烤披薩DIY，零廚藝也能晉升小廚神。,"['開心', '農場', '實版', '怎麼', '錯過', '互動', '機會', '興奮', '眼木窯', '披薩', 'DIY', '廚藝', '晉升', '廚神', '梅花鹿', '山羊', '令人']"
老街溪水岸自行車道,平鎮區,老街溪真的不一樣了！3.6公里的親水車道，一路串聯新勢公園、河川教育中心、伯公壇等景點，隨時上路都能展開一場美好｢騎｣遇。,"['不一樣', '3.6', '親水車', '串聯新勢', '公園', '伯公', '景點', '隨時', '能展', '開一場', '老街', '河川', '上路', '美好', '一路', '公里', '教育', '真的', '中心']"
新勢公園,平鎮區,無論你是想踩上滑板大展身手、攀岩場上大秀肌肉、與姊妹淘在野餐墊上大嗑美食、或是讓孩子大發玩心，這裡就是你的大遊藝場！,"['玩心', '無論', '場上', '大秀', '淘在', '大發', '這裡', '大遊', '藝場', '大展身手', '滑板', '攀岩', '野餐', '美食', '姊妹', '肌肉', '或是', '孩子', '就是']"
大古山步道,蘆竹區,從步道入口到觀景台不到1公里就能坐擁制高視角，春天野百合盛開，讓旅途更添驚喜﹔黃昏後繽紛夜色登場，則是令一種微醺風景。,"['野百合', '步道', '微醺', '觀景台', '擁制', '高視角', '盛開', '驚喜', '昏後繽紛', '登場', '則是', '一種', '風景', '更添', '旅途', '夜色', '入口', '春天', '公里', '不到']"
羊稠森林步道,蘆竹區,綠林內的甲蟲擂台、穿山甲的秘密基地…健走之餘，欣賞生態大展演是一定要的，至高點還有海陸空霸氣視野迎接你，旅程超充實！,"['展演', '綠林內', '甲蟲', '健走', '之餘', '欣賞', '生態', '高點', '海陸', '空霸', '氣視野', '超充實', '擂台', '旅程', '穿山甲', '迎接', '秘密', '基地', '一定']"
長流當代美術館(桃園館),蘆竹區,致力推廣藝術，並將美的思維融入日常生活，是該館從始至終不變的理念，館內收藏多件華人藝術家之珍貴畫作，堪為地方上的文化寶庫。,"['推廣藝術', '並將', '美的', '思維', '該館', '從始', '終不變', '館內', '華人', '藝術家', '珍貴', '畫作', '堪為', '寶庫', '多件', '致力', '融入', '日常生活', '收藏', '理念', '文化', '地方']"
龍情‧魔幻豆子主題館,大溪區,來跟花生家族把堅果小知識學起來，超好玩的製糖小學堂和棉花糖DIY，打造與孩子的甜品精心時光，最後再到伴手禮區買一波，開心吃甜甜。,"['堅果', '知識學', '起來', 'DIY', '時光', '最後再', '伴手', '禮區', '開心', '甜品', '甜甜', '好玩', '精心', '一波', '花生', '打造', '家族', '棉花', '孩子']"
祥儀機器人夢工廠,桃園區,機器人大戰鋼鐵擂台、機器人曲棍球大賽、活靈活現的三太子機器人…超多互動體驗，搭上合力DIY組裝機器人，邊玩邊學樂趣十足！,"['機器', '戰鋼', '大賽', '活靈', '活現', '超多', '互動', '體驗', 'DIY', '組裝', '邊玩邊', '學樂趣', '擂台', '曲棍球', '三太子', '合力', '人大', '十足']"
卡司‧蒂菈樂園（金格觀光工廠）,蘆竹區,烤餅乾、彩繪薑餅屋，親子動動手，夢幻甜點自己做，再來參觀長崎蛋糕生產線、學習實用的食安常識，陪孩子一起長飲食小知識。,"['安常', '烤餅', '彩繪', '餅屋', '親子', '動動手', '夢幻', '甜點', '再來', '參觀長', '生產線', '學習', '實用', '飲食', '知識', '蛋糕', '孩子', '一起', '自己']"
興仁夜市,八德區,想要大啖各路料理的就來美食天地，想要玩遊戲買衣服的就來歡樂王國，分區規劃更好逛，區內還設有遮雨棚，就算下雨也能開心逛夜市！,"['美食天地', '想要', '玩遊戲', '歡樂', '王國', '分區', '規劃', '區內', '還設', '遮雨棚', '開心', '夜市', '下雨', '料理', '各路', '就算', '更好', '衣服']"
霄裡大池(霄裡池),八德區,匯聚了自然綠意與悠久人文，6甲大的霄裡大池百餘年來灌溉著八德南區的農田，如天空之鏡的池面映照著天光雲影，靜看也是享受。,"['匯聚', '綠意', '甲大', '霄裡', '大池', '百餘年', '八德', '南區', '農田', '之鏡', '池面', '雲影', '靜看', '天光', '映照', '悠久', '人文', '灌溉', '天空', '享受', '自然']"
許厝港濕地,大園區,北台灣最大的海岸型濕地、野鳥迷必收的追鳥熱點，超過200種水鳥在此棲息、覓食﹔每年秋冬之際，上千隻水鳥現蹤，絕對值得一睹盛況。,"['濕地', '野鳥', '迷必收', '追鳥', '熱點', '超過', '200', '種水鳥', '此棲息', '覓食', '之際', '水鳥', '絕對', '盛況', '北台', '一睹', '上千', '秋冬', '海岸', '值得', '每年', '最大']"
大溪老茶廠,大溪區,在和洋融合的風格建築中，用啜飲一杯東方美人茶的時間，和友人一同談天說地，細細領略韶光靜好的悠然，就是最好的回甘滋味。,"['韶光', '風格', '建築', '東方', '時間', '談天', '細細', '領略', '靜好', '回甘', '悠然', '友人', '美人', '滋味', '一杯', '一同', '融合', '最好', '就是']"
馬祖新村眷村文創園區,中壢區,乘載軍眷日常的屋舍，隨著歲月更迭，成了推廣質感生活的創意基地﹔不定期舉辦的市集、名人講座、選物分享，帶你走進諸般好時光。,"['乘載', '軍眷', '隨著', '推廣質', '創意', '舉辦', '講座', '選物', '進諸般', '時光', '屋舍', '市集', '不定期', '更迭', '名人', '分享', '日常', '基地', '生活']"
中壢觀光夜市,中壢區,全長700公尺、超過400攤，蒐羅各式銅板美食，讓你花小錢就能遍嚐特色小吃，吃飽喝足就要開啟購物模式，輕鬆買齊當季行頭。,"['特色小吃', '全長', '700', '超過', '400', '銅板', '花小錢', '喝足', '開啟', '購物', '公尺', '美食', '各式', '模式', '就要']"
中原商圈 (中原夜市),中壢區,有令你熟悉的在地小吃，也有大玩混搭的創意美食，華燈初上時，整座夜市一路飄香，只要你｢肚量｣夠大，歡迎過足你的吃貨癮。,"['有令', '創意', '華燈', '飄香', '夠大', '歡迎', '過足', '貨癮', '肚量', '夜市', '小吃', '整座', '美食', '熟悉', '一路', '只要']"
中平路商圈,中壢區,中壢火車站前一級逛街陣地，走一波就能把永遠都少一件衣服的衣櫃補好補滿，也可順道享受一段美味時光，古早味、異國料理，應有盡有。,"['中壢', '火車', '一級', '陣地', '永遠', '衣櫃', '補好', '補滿', '順道', '時光', '古早', '異國', '應有', '盡有', '逛街', '美味', '料理', '一波', '享受', '一段', '衣服', '一件']"
羊世界牧場,中壢區,小孩才做選擇！這裡是老饕必插旗的羊肉料理據點，也是能和萌寵動物同框的親子樂園，輕鬆搞定你旅行的二個願望，沒那麼困難！,"['選擇', '這裡', '插旗', '據點', '萌寵動物', '同框', '親子', '樂園', '二個', '願望', '那麼', '困難', '搞定', '羊肉', '料理', '旅行', '小孩']"
桃園觀光夜市,桃園區,在地人從小吃到大的花枝羹、蚵仔煎、古早味愛玉，還有大阪燒、韓式炸雞、越南河粉…等異國美味，中外大比拚，看看誰是你心頭好！,"['古早', '味愛玉', '韓式', '炸雞', '河粉', '異國', '心頭', '大比', '花枝', '小吃', '大阪', '美味', '中外', '越南', '看看']"
孔廟,桃園區,以中國宮殿為藍本的孔廟，建築風格莊嚴帶有尊榮感，建造細節皆遵循古制，表現崇尚至聖先師的意涵，每年教師節依例舉行祭孔大典。,"['以中國', '宮殿', '藍本', '孔廟', '建築', '風格莊', '嚴帶', '尊榮感', '細節', '古制', '表現', '至聖', '先師', '意涵', '教師節', '舉行', '祭孔大典', '依例', '崇尚', '遵循', '建造', '每年']"
虎頭山環保公園,桃園區,一閃一閃亮晶晶，璀璨燈火放光明！市區賞夜景激推熱點，讓你不必登百岳，也不必考驗自己的腿力，就能一睹夕陽無限好的絕美景致。,"['一閃', '腿力', '不必', '燈火放', '市區賞', '激推熱點', '登百岳', '考驗', '夕陽', '無限好', '絕美', '一睹', '夜景', '亮晶晶', '璀璨', '景致', '光明', '自己']"
楓樹坑,龜山區,面向田野，讓感官被遠處的山、吹拂的風、眼前的綠而喚醒，接著在百年楓香樹下打卡，記錄邂逅另一條伯朗大道的心情記事。,"['打卡', '遠處', '喚醒', '接著', '楓香樹下', '記錄', '條伯朗', '記事', '吹拂', '邂逅', '感官', '田野', '百年', '面向', '大道', '心情', '眼前']"
忠貞商圈,中壢區,最道地的滇緬好滋味吃飽吃滿，米干、大薄片、檸檬魚，全部來一輪，必需加入行事曆的龍岡米干節，讓你嚐美食之餘還深入金三角文化，大推！,"['最道', '緬好', '檸檬魚', '一輪', '龍岡米', '干節', '之餘還', '金三角', '薄片', '美食', '滋味', '必需', '行事', '深入', '加入', '文化', '全部']"
比亞外部落,復興區,世外桃源真實版就在這座高海拔的泰雅部落，想體會郊野的美，從踏查友善耕作、自給自足的族人生活之道，到邂逅藍腹鷴，都是極佳之選。,"['泰雅', '踏查', '真實版', '這座', '想體', '自給', '藍腹鷴', '極佳', '之選', '自足', '郊野', '世外桃源', '邂逅', '友善', '族人', '耕作', '之道', '部落', '海拔', '生活']"
義興吊橋,復興區,站上桃園唯一的水管橋，徜徉在蔚藍天空和大漢溪谷之間，15層樓高的高度，有點刺激又有點療癒，讓人跨足一步也忍不住心跳加快！,"['桃園', '大漢', '之間', '15', '層樓', '有點', '點療', '跨足', '徜徉', '溪谷', '水管', '心跳', '站上', '天空', '忍不住', '一步', '高度', '唯一', '加快', '刺激']"
稻米故事館,新屋區,來到北台灣的｢米都｣，走訪這棟超過80年歷史的舊穀倉，參觀百年碾米機、欣賞老建築風采、認識代代相傳的米食文化，包你滿載而歸。,"['食文化', '灣的', '走訪', '這棟', '超過', '80', '歷史', '參觀', '欣賞', '老建築', '風采', '認識', '相傳', '滿載', '北台', '代代', '碾米', '百年']"
富岡老街,楊梅區,小而美的老街上，浮雕細緻且華麗的巴洛克洋樓、擁有近百年歷史的磚砌十連棟，都是耐人尋味的富岡印記，記錄著小鎮昔日的繁華歲月。,"['小而', '美的', '洋樓', '擁有', '歷史', '磚砌', '十連棟', '耐人', '尋味', '富岡', '印記', '記錄', '著小鎮', '繁華歲', '巴洛克', '浮雕', '百年', '昔日', '街上']"
秀才登山步道,楊梅區,老少咸宜的平緩柏油路、495階腳勤人專屬天梯，2款路線任君挑選，沿途俯視層層茶園景致加上四季輪轉的芒花、桐花，也是種享受。,"['老少咸宜', '平緩', '495', '階腳勤', '專屬', '款路線', '任君', '挑選', '俯視', '層層', '茶園', '輪轉', '桐花', '是種', '天梯', '柏油路', '景致', '沿途', '四季', '享受', '加上']"
大平橋,龍潭區,曾獲選為台灣歷史建築百景，在地人口中的糯米橋，紅磚橋身倒影在打鐵坑溪，融合周邊的農村風景，別有一番優雅古意。,"['百景', '獲選為', '台灣', '歷史', '建築', '紅磚', '橋身', '打鐵坑', '周邊', '農村', '風景', '別有', '優雅', '古意', '倒影', '糯米', '融合', '一番', '人口']"
憲光二村,龜山區,走訪全桃園唯一的憲兵宿舍，裝載歲月的老皮箱、連排黑瓦平房、飄揚的國旗、老榕樹下的鞦韆...，拼湊記憶中光陰的故事。,"['走訪', '全桃園', '憲兵', '裝載', '連排', '飄揚', '國旗', '老榕', '樹下', '...', '拼湊', '記憶', '中光', '黑瓦', '皮箱', '平房', '宿舍', '故事', '唯一']"
眷村故事館,龜山區,舊皮箱、縫紉機、黑膠唱片、黑白電視機…穿梭眷村客廳、雜貨店，每一件看似不起眼的生活物品，都是一個個50﹣60年代的動人故事。,"['縫紉機', '黑膠', '電視機', '眷村', '客廳', '雜貨店', '一個', '50', '60', '動人', '每一件', '不起眼', '皮箱', '穿梭', '唱片', '黑白', '看似', '物品', '故事', '年代', '生活']"
GFun機能生活館,觀音區,機能布料可不是噱頭，歡迎來館內｢風雨體驗走廊｣、｢伸展體驗活動區｣、｢機能體驗DIY｣，就能明白NIKE、愛迪達為何如此愛用。,"['體驗', '機能', '噱頭', '歡迎', '來館', '風雨', '活動區', 'DIY', 'NIKE', '愛迪達', '為何', '愛用', '布料', '伸展', '走廊', '可不是', '明白', '如此']"
巴陵橋_巴陵大橋_巴陵舊橋,復興區,慢步沒有車輛干擾的舊橋隧道感受濃濃泰雅風情，或是在粉得很亮眼的新橋，把大漢溪谷的美好好看盡，雙橋雙玩法，兩種都很推！,"['泰雅', '沒有', '車輛', '干擾', '舊橋', '濃濃', '風情', '新橋', '大漢', '雙橋雙', '兩種', '慢步', '亮眼', '玩法', '溪谷', '美好', '隧道', '好看', '感受', '或是']"
竹圃茶園小木屋休閒農場,蘆竹區,翠綠的茶園與結實累累的稻田，是園區中耐人尋味的美景，還有時節限定的桐花、櫻花、落羽松，歡迎來作客的你，一同感受當季。,"['翠綠', '茶園', '結實', '園區', '中耐人', '尋味', '時節', '桐花', '櫻花', '落羽松', '歡迎', '當季', '累累的', '作客', '美景', '稻田', '限定', '一同', '感受']"
戀戀空港灣休閒農場,蘆竹區,快揪上你的好友一同來當一日小農，體驗葡萄套袋、鮮採諾麗果、動手製作果醋、認識友善農法，各種玩樂兼學習的行程，保證令你印象深刻。,"['套袋', '來當', '小農', '體驗', '採諾麗果', '認識', '農法', '各種', '玩樂', '兼學習', '保證令', '友善', '好友', '行程', '葡萄', '一同', '印象', '一日', '深刻']"
泉園休閒農場,蘆竹區,跟著園主種樹、種野百合、種綠竹筍、培育葡萄，自然農法初體驗，讓久居城市的你重新找回擁抱大自然的悸動，還能學一波中草藥小知識。,"['野百合', '著園', '主種', '種綠竹筍', '農法', '初體驗', '擁抱', '悸動', '還能', '學一波', '中草藥', '知識', '久居', '找回', '大自然', '葡萄', '培育', '重新', '自然', '城市']"
耀輝牧場,楊梅區,還記得第一次拿牧草餵小牛，既緊張又興奮的心情嗎﹖來、來、來，重溫你的孩提回憶之外，同場超展開你的農事技能，超Chill！,"['還記', '緊張', '興奮', '重溫', '回憶', '同場', '超展', '農事', 'Chill', '孩提', '小牛', '牧草', '技能', '心情', '之外', '第一次']"
圓光禪寺,中壢區,中壢市郊頗富盛名的古剎，格局恢弘的殿宇和中式園林，構成一幅清幽的景致，寺院不乏旅人漫步的行蹤，感受遠離塵囂的寧靜。,"['中壢', '頗富', '古剎', '園林', '構成', '遠離', '塵囂', '寧靜', '恢弘', '旅人', '清幽', '中式', '漫步', '殿宇', '景致', '盛名', '市郊', '不乏', '寺院', '一幅', '感受', '格局']"
中壢仁海宮,中壢區,堪稱為南桃園信仰中心的仁海宮，恢弘氣派的百年廟殿供奉千年沉香媽祖，在冉冉昇起的香煙中，聆聽著善男信女的真誠祈願。,"['堪稱', '南桃園', '仁海宮', '氣派', '廟殿', '媽祖', '香煙', '祈願', '恢弘', '善男信女', '沉香', '冉冉', '供奉', '百年', '千年', '信仰', '中心']"
大溪木藝生態博物館﹣壹號館,大溪區,舞龍隊整齊列隊、藝師專注創作、學徒練習抬轎、大仙尪仔威武出巡…一個個小巧可愛的木偶，生動展示大嵙崁悠遠又濃厚的人文風采。,"['舞龍隊', '整齊', '列隊', '藝師', '專注', '創作', '學徒練習', '一個', '可愛的', '生動', '悠遠', '濃厚', '風采', '出巡', '木偶', '大仙', '小巧', '威武', '人文', '展示']"
樂天桃園棒球場,中壢區,以國際級規格打造、北台灣人氣超夯的棒球場，不只是熱血球賽的競技殿堂，也曾是五月天、槍與玫瑰等樂團開唱的搖滾舞台。,"['血球', '以國際級', '規格', '灣人氣', '超夯', '競技', '等樂團', '開唱', '搖滾', '北台', '五月天', '棒球', '殿堂', '玫瑰', '舞台', '打造', '只是']"
中平路故事館,中壢區,1930年興建的雙併日式建築，承載著兩家人的生活印記，時至今日，轉而成為認識在地常民日常的｢城市文化客廳｣，讓老屋的故事繼續延續下去。,"['1930', '年興', '建的雙', '建築', '承載', '印記', '時至', '轉而成', '認識', '地常民', '客廳', '繼續', '延續', '日式', '老屋', '日常', '家人', '故事', '下去', '文化', '今日', '城市', '生活']"
楓樹腳公園,八德區,綠樹林立、占地3.5公頃的園區，規劃有自行車道、向陽草坪、光榮球場、麗景綠廊、亮彩廣場等休閒場域，是地方居民運動的熱門場地。,"['綠樹', '3.5', '公頃', '園區', '規劃', '車道', '向陽', '光榮', '球場', '麗景', '綠廊', '亮彩', '廣場', '休閒', '場域', '運動', '熱門場', '草坪', '林立', '占地', '自行', '居民', '地方']"
大園公園,大園區,想重拾盡情揮汗的暢快，槌球場、綠蔭步道等你熱血揪團來PK﹔想帶孩子放風玩耍，溜滑梯、攀爬架、搖搖馬，絕對比玩手機還好玩！,"['步道', '盡情', '暢快', '球場', '綠蔭', '熱血', '團來', 'PK', '想帶', '放風', '溜滑梯', '搖搖馬', '絕對', '玩手', '機還', '攀爬', '重拾', '好玩', '玩耍', '孩子']"
大溪埔頂公園,大溪區,公園內也可以玩高空溜索﹖這裡沒有罐頭遊具，有的是滾輪溜滑梯、樹屋遊戲區、共融式旋轉盤，為親子共遊時光製造無窮歡樂。,"['公園', '溜索', '這裡', '沒有', '罐頭', '遊具', '滾輪', '溜滑梯', '樹屋', '遊戲區', '共融式', '轉盤', '親子', '共遊時', '高空', '有的是']"
